rho,epsilon,p_at_5,p_at_10,p_at_20,l1_gamma_pobs,iterations,time_seconds,final_free_energy
0.005,0.005,0.7959999999999999,0.72,0.6539999999999999,0.048125207727530595,30,0.40488266944885254,0.13157849602309551
0.005,0.01,0.7959999999999999,0.726,0.6609999999999999,0.017904218714940155,30,0.3972756862640381,0.131596117385838
0.005,0.03,0.7999999999999998,0.728,0.664,0.0065298156611150095,30,0.3979675769805908,0.13160482729862472
0.005,0.05,0.7999999999999998,0.728,0.6629999999999999,0.005127477695169158,30,0.4002952575683594,0.1316065195836435
0.005,0.1,0.7999999999999998,0.728,0.662,0.004544441143275346,30,0.405972957611084,0.13160779689944002
0.005,0.2,0.7959999999999999,0.728,0.662,0.0044835262102184085,30,0.4057793617248535,0.13160843986566156
0.03,0.005,0.7959999999999999,0.72,0.6539999999999999,0.049339313491596176,30,0.4076814651489258,0.13166611934130504
0.03,0.01,0.7959999999999999,0.726,0.6609999999999999,0.024316528418299843,30,0.3952159881591797,0.13170909932991273
0.03,0.03,0.7999999999999998,0.728,0.664,0.022855462205701945,30,0.38663482666015625,0.1317413627307873
0.03,0.05,0.7999999999999998,0.728,0.6629999999999999,0.024451632440232345,30,0.403003454208374,0.1317485491305202
0.03,0.1,0.7999999999999998,0.728,0.662,0.02599341359785471,30,0.39542651176452637,0.13175413717107515
0.03,0.2,0.7959999999999999,0.728,0.662,0.026809190986934437,30,0.3984076976776123,0.13175699863534301
0.05,0.005,0.7959999999999999,0.72,0.6539999999999999,0.0506599434208922,30,0.4175245761871338,0.131736984668094
0.05,0.01,0.7959999999999999,0.726,0.6609999999999999,0.03132929052024111,30,0.4382607936859131,0.13179941170696205
0.05,0.03,0.7999999999999998,0.728,0.664,0.03776219849344729,30,0.427199125289917,0.13184905556897966
0.05,0.05,0.7999999999999998,0.728,0.6629999999999999,0.040875245109155973,30,0.4225947856903076,0.13186019630968676
0.05,0.1,0.7999999999999998,0.728,0.662,0.04340637663753023,30,0.4164125919342041,0.13186885974139928
0.05,0.2,0.7959999999999999,0.728,0.662,0.044736667987894274,30,0.3968636989593506,0.13187329453347107
0.1,0.005,0.7959999999999999,0.72,0.6539999999999999,0.05585709872060951,30,0.4069383144378662,0.131917094269272
0.1,0.01,0.7959999999999999,0.726,0.6609999999999999,0.05442074387972813,30,0.39952802658081055,0.1320245968485558
0.1,0.03,0.7999999999999998,0.728,0.664,0.07656332287698067,30,0.38876891136169434,0.1321120250099743
0.1,0.05,0.7999999999999998,0.728,0.6629999999999999,0.08251033060605655,30,0.44270801544189453,0.13213141733119818
0.1,0.1,0.7999999999999998,0.728,0.662,0.08724951719053704,30,0.4000532627105713,0.13214640778956974
0.1,0.2,0.7999999999999998,0.728,0.662,0.08972629002352422,30,0.4080204963684082,0.1321540485961163
0.2,0.005,0.7959999999999999,0.722,0.6539999999999999,0.07697473274832742,30,0.40524840354919434,0.13228934161258712
0.2,0.01,0.7959999999999999,0.728,0.6609999999999999,0.11271621087427178,30,0.41130685806274414,0.132469664334955
0.2,0.03,0.7999999999999998,0.728,0.664,0.15761909162160687,30,0.41782069206237793,0.13260886890662124
0.2,0.05,0.7999999999999998,0.728,0.6629999999999999,0.16802802762885147,30,0.3922078609466553,0.13263842681499194
0.2,0.1,0.7999999999999998,0.728,0.662,0.17615774437722023,30,0.3683359622955322,0.13266093226518466
0.2,0.2,0.7999999999999998,0.728,0.662,0.18032229790931878,30,0.4009740352630615,0.13267228811314907
0.5,0.005,0.8,0.726,0.655,0.24937857819203738,30,0.3734159469604492,0.13346006756630527
0.5,0.01,0.7959999999999999,0.7319999999999999,0.66,0.35297082825816184,30,0.37005019187927246,0.13368457578430806
0.5,0.03,0.7959999999999999,0.728,0.664,0.42561941031997097,30,0.34947824478149414,0.13381947988212464
0.5,0.05,0.7999999999999998,0.728,0.664,0.4400130891652328,30,0.3599073886871338,0.1338446122664326
0.5,0.1,0.7999999999999998,0.728,0.662,0.4507297573764562,30,0.3374958038330078,0.13386302680098533
0.5,0.2,0.7999999999999998,0.728,0.662,0.45605876497351533,30,0.3439517021179199,0.13387209219652257
