keep_positive_fraction,training_density,method,seed,p10_all,p10_heldout,l1_to_pobs,iterations,runtime_seconds
0.05,0.03011764705882353,PSD-CODE,0,0.434,0.366,0.0,20,0.46234750747680664
0.05,0.03011764705882353,PSD-CODE,1,0.4159999999999999,0.36,0.0,20,0.582277774810791
0.05,0.03011764705882353,PSD-CODE,2,0.406,0.366,0.0,20,0.4465000629425049
0.05,0.03011764705882353,"W-PSD-CODE (KL, eps=0.05, rho=0.05)",0,0.43,0.358,0.015701274737802504,20,2.6122915744781494
0.05,0.03011764705882353,"W-PSD-CODE (KL, eps=0.05, rho=0.05)",1,0.424,0.36199999999999993,0.029672720272804022,20,2.6451048851013184
0.05,0.03011764705882353,"W-PSD-CODE (KL, eps=0.05, rho=0.05)",2,0.414,0.36800000000000005,0.012441090353907598,20,2.7346713542938232
0.1,0.041882352941176475,PSD-CODE,0,0.44599999999999995,0.3459999999999999,0.0,20,0.44199466705322266
0.1,0.041882352941176475,PSD-CODE,1,0.42,0.29,0.0,20,0.47687435150146484
0.1,0.041882352941176475,PSD-CODE,2,0.48200000000000004,0.36800000000000005,0.0,20,0.5932376384735107
0.1,0.041882352941176475,"W-PSD-CODE (KL, eps=0.05, rho=0.05)",0,0.44599999999999995,0.34199999999999997,0.03878146520161423,20,0.8438327312469482
0.1,0.041882352941176475,"W-PSD-CODE (KL, eps=0.05, rho=0.05)",1,0.418,0.29,0.03466965839613902,20,2.132417917251587
0.1,0.041882352941176475,"W-PSD-CODE (KL, eps=0.05, rho=0.05)",2,0.48200000000000004,0.37200000000000005,0.03297723421744429,20,2.2135517597198486
0.15,0.058509803921568626,PSD-CODE,0,0.48200000000000004,0.33,0.0,20,0.5613703727722168
0.15,0.058509803921568626,PSD-CODE,1,0.5,0.34199999999999997,0.0,20,0.571929931640625
0.15,0.058509803921568626,PSD-CODE,2,0.472,0.348,0.0,20,0.574615478515625
0.15,0.058509803921568626,"W-PSD-CODE (KL, eps=0.05, rho=0.05)",0,0.478,0.32799999999999996,0.036177280117497206,20,0.7932040691375732
0.15,0.058509803921568626,"W-PSD-CODE (KL, eps=0.05, rho=0.05)",1,0.498,0.33799999999999997,0.03881782963094531,20,1.825596809387207
0.15,0.058509803921568626,"W-PSD-CODE (KL, eps=0.05, rho=0.05)",2,0.47200000000000003,0.344,0.03666397686346506,20,0.7366528511047363
0.3,0.11152941176470588,PSD-CODE,0,0.5319999999999999,0.34600000000000003,0.0,20,0.5651309490203857
0.3,0.11152941176470588,PSD-CODE,1,0.546,0.33,0.0,20,0.5350863933563232
0.3,0.11152941176470588,PSD-CODE,2,0.576,0.376,0.0,20,0.5136086940765381
0.3,0.11152941176470588,"W-PSD-CODE (KL, eps=0.05, rho=0.05)",0,0.5319999999999999,0.34800000000000003,0.04800304632934734,20,0.6974992752075195
0.3,0.11152941176470588,"W-PSD-CODE (KL, eps=0.05, rho=0.05)",1,0.55,0.326,0.047908471446217696,20,0.6403636932373047
0.3,0.11152941176470588,"W-PSD-CODE (KL, eps=0.05, rho=0.05)",2,0.586,0.37799999999999995,0.04814281609737776,20,0.6734647750854492
0.5,0.1823529411764706,PSD-CODE,0,0.622,0.37800000000000006,0.0,20,0.5045504570007324
0.5,0.1823529411764706,PSD-CODE,1,0.672,0.3560000000000001,0.0,20,0.5161399841308594
0.5,0.1823529411764706,PSD-CODE,2,0.6659999999999999,0.37800000000000006,0.0,20,0.604055643081665
0.5,0.1823529411764706,"W-PSD-CODE (KL, eps=0.05, rho=0.05)",0,0.63,0.37800000000000006,0.05168142242257211,20,0.6766366958618164
0.5,0.1823529411764706,"W-PSD-CODE (KL, eps=0.05, rho=0.05)",1,0.672,0.36,0.05205530876647457,20,0.6957557201385498
0.5,0.1823529411764706,"W-PSD-CODE (KL, eps=0.05, rho=0.05)",2,0.6639999999999999,0.37800000000000006,0.05129520478432693,20,0.6730694770812988
0.75,0.272078431372549,PSD-CODE,0,0.71,0.25000000000000006,0.0,20,0.5318975448608398
0.75,0.272078431372549,PSD-CODE,1,0.7260000000000001,0.262,0.0,20,0.5988178253173828
0.75,0.272078431372549,PSD-CODE,2,0.704,0.256,0.0,20,0.5780320167541504
0.75,0.272078431372549,"W-PSD-CODE (KL, eps=0.05, rho=0.05)",0,0.708,0.24800000000000005,0.04782227386786214,20,0.6074113845825195
0.75,0.272078431372549,"W-PSD-CODE (KL, eps=0.05, rho=0.05)",1,0.7240000000000001,0.262,0.047744904733099516,20,0.7181711196899414
0.75,0.272078431372549,"W-PSD-CODE (KL, eps=0.05, rho=0.05)",2,0.704,0.252,0.04720145877934681,20,0.6376378536224365
